name,age,region,stance
Ada-000,42,north,1.268
Ben-001,73,east,-0.167
Cleo-002,44,east,0.131
Dev-003,35,centre,1.164
Esme-004,34,north,-1.675
Finn-005,45,south,-0.237
Gia-006,76,south,-1.887
Hugo-007,42,centre,-1.119
Ines-008,52,east,0.797
Jun-009,78,north,-0.333
Kai-010,63,north,0.628
Lina-011,60,north,-1.657
Milo-012,35,centre,0.686
Nia-013,51,south,-0.879
Otto-014,33,west,-0.268
Pia-015,47,west,0.754
Quinn-016,66,east,-1.320
Rae-017,59,west,-1.035
Sol-018,21,north,1.764
Tess-019,22,west,-0.889
Uma-020,31,east,0.058
Vik-021,51,south,1.513
Wren-022,75,north,0.881
Xan-023,76,centre,0.148
Yara-024,31,south,1.103
Zed-025,61,east,0.166
Ada-026,29,east,0.720
Ben-027,60,north,1.169
Cleo-028,39,east,-1.522
Dev-029,77,west,-0.375
Esme-030,75,centre,1.095
Finn-031,19,south,1.445
Gia-032,43,north,-1.003
Hugo-033,79,south,0.895
Ines-034,38,east,-0.304
Jun-035,78,centre,0.855
Kai-036,72,south,0.225
Lina-037,67,east,-1.754
Milo-038,31,east,-0.296
Nia-039,62,centre,-0.513
Otto-040,66,west,1.346
Pia-041,69,west,0.358
Quinn-042,76,centre,-0.725
Rae-043,26,south,0.850
Sol-044,79,north,0.746
Tess-045,54,south,0.789
Uma-046,68,centre,-0.177
Vik-047,69,north,-1.587
Wren-048,65,west,1.734
Xan-049,27,centre,-0.006
Yara-050,68,east,-0.959
Zed-051,25,north,-1.856
Ada-052,63,north,0.843
Ben-053,48,west,-1.936
Cleo-054,44,north,-0.403
Dev-055,45,east,-1.260
Esme-056,75,west,-1.842
Finn-057,79,centre,-1.631
Gia-058,51,west,1.446
Hugo-059,24,west,0.242
Ines-060,56,east,-1.905
Jun-061,42,centre,-0.695
Kai-062,29,north,-1.310
Lina-063,23,centre,0.705
Milo-064,61,north,-1.922
Nia-065,70,west,0.326
Otto-066,26,west,-1.071
Pia-067,63,west,1.631
Quinn-068,32,north,-0.456
Rae-069,28,north,1.442
Sol-070,70,north,0.032
Tess-071,37,south,-0.156
Uma-072,27,centre,0.723
Vik-073,28,north,0.387
Wren-074,32,east,0.280
Xan-075,64,east,0.486
Yara-076,47,centre,-0.380
Zed-077,73,centre,0.624
Ada-078,32,north,-1.196
Ben-079,20,west,-1.163
Cleo-080,39,centre,0.645
Dev-081,76,east,0.396
Esme-082,36,north,0.261
Finn-083,34,north,-0.366
Gia-084,62,south,-0.676
Hugo-085,34,north,1.990
Ines-086,78,centre,-1.312
Jun-087,30,centre,-0.415
Kai-088,61,centre,0.526
Lina-089,35,centre,1.420
Milo-090,44,centre,0.469
Nia-091,55,north,-0.240
Otto-092,62,centre,-1.346
Pia-093,74,south,-0.302
Quinn-094,54,west,-0.647
Rae-095,31,south,-0.449
Sol-096,21,centre,1.227
Tess-097,24,west,1.898
Uma-098,30,north,1.457
Vik-099,58,north,0.877
Wren-100,41,west,-1.710
Xan-101,72,south,-0.808
Yara-102,73,west,-0.799
Zed-103,69,centre,0.344
Ada-104,50,south,1.101
Ben-105,73,south,-1.960
Cleo-106,24,west,-1.900
Dev-107,66,centre,0.026
Esme-108,36,north,-1.481
Finn-109,29,west,1.733
Gia-110,59,centre,1.358
Hugo-111,56,north,0.558
Ines-112,38,west,0.540
Jun-113,49,west,-1.528
Kai-114,20,north,-1.792
Lina-115,42,centre,1.246
Milo-116,28,east,-0.585
Nia-117,41,west,-0.836
Otto-118,62,south,-1.085
Pia-119,79,east,0.854
Quinn-120,29,east,-0.215
Rae-121,79,east,1.137
Sol-122,37,north,0.402
Tess-123,19,west,1.780
Uma-124,74,east,-1.727
Vik-125,29,west,-1.059
Wren-126,28,south,-0.577
Xan-127,70,east,1.296
Yara-128,66,south,1.976
Zed-129,51,north,0.445
Ada-130,66,north,-0.777
Ben-131,71,south,-1.462
Cleo-132,62,south,0.283
Dev-133,28,east,-0.600
Esme-134,23,west,0.630
Finn-135,60,centre,-1.059
Gia-136,68,centre,1.463
Hugo-137,49,east,0.667
Ines-138,49,west,1.503
Jun-139,21,north,-1.194
Kai-140,73,east,-1.535
Lina-141,56,west,-0.714
Milo-142,47,north,1.481
Nia-143,40,north,1.672
Otto-144,21,south,1.354
Pia-145,46,north,-0.413
Quinn-146,51,east,1.981
Rae-147,41,north,-0.791
Sol-148,40,centre,-1.157
Tess-149,35,east,1.522
Uma-150,49,north,0.353
Vik-151,40,south,-1.717
Wren-152,21,centre,0.325
Xan-153,30,east,-1.599
Yara-154,24,south,-1.829
Zed-155,58,west,0.920
Ada-156,32,north,-1.120
Ben-157,36,south,-0.764
Cleo-158,26,west,0.551
Dev-159,58,centre,0.818
Esme-160,66,east,0.668
Finn-161,23,east,1.861
Gia-162,24,north,0.479
Hugo-163,49,east,1.124
Ines-164,78,west,-0.845
Jun-165,27,centre,0.032
Kai-166,73,centre,-0.951
Lina-167,22,north,-0.847
Milo-168,18,north,1.606
Nia-169,28,north,0.679
Otto-170,70,east,1.571
Pia-171,73,north,0.726
Quinn-172,47,south,0.293
Rae-173,61,west,0.514
Sol-174,32,centre,-1.519
Tess-175,40,south,-0.163
